0.0     1.0
100.0     27013.2138197007
200.0     106276.9245156211
300.0     248018.2595824405
400.0     422419.7965416229
500.0     712985.524150539
600.0     974171.4845026019
700.0     1316607.1581411096
800.0     1685867.8319378844
900.0     2252106.1487591956
1000.0     2877346.7816710547
1100.0     3289211.96399888
1200.0     3851893.3530547777
1300.0     5094548.46153676
1400.0     5204590.637429599
1500.0     6328913.639261606
1600.0     6727883.2938328795
1700.0     7374488.571957409
1800.0     8858373.683630768
1900.0     9121342.289087128
2000.0     1.1510153871881254E7
2100.0     1.1813515847954012E7
2200.0     1.3516333878813028E7
2300.0     1.4171414215693653E7
2400.0     1.5290046300621275E7
2500.0     1.6144643338382477E7
2600.0     2.0147176009629857E7
2700.0     2.034861207501162E7
2800.0     2.0609170748132434E7
2900.0     2.1117496903050523E7
3000.0     2.5577406403573714E7
3100.0     2.6701641694159325E7
3200.0     2.6806427521795254E7
3300.0     2.9515638641093638E7
3400.0     3.0217218355264287E7
3500.0     3.486746950313594E7
3600.0     3.497892115313409E7
3700.0     3.58593670143689E7
3800.0     3.6594145084074065E7
3900.0     4.5376553036869064E7
4000.0     4.5777306187353164E7
4100.0     4.650408748149544E7
4200.0     4.686562818803024E7
4300.0     4.711830646083549E7
4400.0     5.523310895655957E7
4500.0     5.6302904751452394E7
4600.0     5.764649807687921E7
4700.0     6.063672022817772E7
4800.0     6.078910818984254E7
4900.0     6.233418351488706E7
5000.0     6.5752658416082434E7
5100.0     6.65161816240544E7
5200.0     7.963348025547095E7
5300.0     7.975315900167513E7
5400.0     8.020345909760436E7
5500.0     8.094346025434463E7
5600.0     8.197385727894714E7
5700.0     8.269744400260545E7
5800.0     8.401760254799597E7
5900.0     1.0150097893662256E8
6000.0     1.0262198708418363E8
6100.0     1.0449160809427029E8
6200.0     1.060715037604317E8
6300.0     1.0628370535304105E8
6400.0     1.0666150814235586E8
6500.0     1.0923960302370289E8
6600.0     1.2083001704787877E8
6700.0     1.2322423707040569E8
6800.0     1.2346768242072897E8
6900.0     1.2623568013969803E8
7000.0     1.381099696127632E8
7100.0     1.3816513832640067E8
7200.0     1.385272440856961E8
7300.0     1.4065899502107537E8
7400.0     1.4405795936577713E8
7500.0     1.4640142812770393E8
7600.0     1.4781030420416456E8
7700.0     1.4984594615198568E8
7800.0     1.8047806478184664E8
7900.0     1.8136078383286977E8
8000.0     1.8150156123278704E8
8100.0     1.8327468280430916E8
8200.0     1.8357399649308282E8
8300.0     1.8517342314565507E8
8400.0     1.8612809769679213E8
8500.0     1.8690638127678272E8
8600.0     1.8747750420143527E8
8700.0     1.9102450818321624E8
8800.0     2.2422520072525382E8
8900.0     2.2658390169741273E8
9000.0     2.2774855319852227E8
9100.0     2.3231996154281992E8
9200.0     2.326192415700631E8
9300.0     2.4073321174350247E8
9400.0     2.4096730531776208E8
9500.0     2.4127607189969382E8
9600.0     2.4175801523089483E8
9700.0     2.4189835637082863E8
9800.0     2.4793209480238158E8
9900.0     2.6535882983914286E8
10000.0     2.6840805972280502E8
20000.0     1.0947743317697268E9
30000.0     2.4142700354880786E9
40000.0     4.452417253029901E9
50000.0     6.664300745644613E9
60000.0     9.817521776336742E9
70000.0     1.4408240167506405E10
80000.0     1.803616718605912E10
90000.0     2.1726035696687916E10
100000.0     2.66157348368368E10
110000.0     3.3292564428431053E10
120000.0     3.985300224458522E10
130000.0     4.490522805291646E10
140000.0     5.753997227167685E10
150000.0     6.019307066973405E10
160000.0     7.27534436858284E10
170000.0     7.80342126572197E10
180000.0     8.813326157055838E10
190000.0     1.016287091631761E11
200000.0     1.0668707391911716E11
210000.0     1.2872229696013237E11
220000.0     1.3268419467616138E11
230000.0     1.377324972463732E11
240000.0     1.6131591089601776E11
250000.0     1.7677269268874982E11
260000.0     1.7817646295578418E11
270000.0     1.9555082319471082E11
280000.0     2.2914271148875598E11
290000.0     2.310904147570915E11
300000.0     2.404497531851928E11
310000.0     2.446749497989662E11
320000.0     2.9230779660959424E11
330000.0     2.9802736613385547E11
340000.0     3.102937582065231E11
350000.0     3.176675735233913E11
360000.0     3.571679632750364E11
370000.0     3.663923360312611E11
380000.0     4.030531629034586E11
390000.0     4.0551931229872375E11
400000.0     4.2911162664935205E11
410000.0     4.392622338767064E11
420000.0     5.151926802890502E11
430000.0     5.217609062394482E11
440000.0     5.276135178076181E11
450000.0     5.435593485653366E11
460000.0     5.504936012083517E11
470000.0     5.615168514395505E11
480000.0     6.507880786007449E11
490000.0     6.638300313596777E11
500000.0     7.007439467971648E11
510000.0     7.044790007044294E11
520000.0     7.079419456546223E11
530000.0     7.230952560067026E11
540000.0     7.917258881521716E11
550000.0     7.983739016368585E11
560000.0     9.107910965559263E11
570000.0     9.15457349945795E11
580000.0     9.176137992712988E11
590000.0     9.252152495737261E11
600000.0     9.634450115053362E11
610000.0     9.766199323532625E11
620000.0     9.83258711357312E11
630000.0     1.150612365387996E12
640000.0     1.170439886953182E12
650000.0     1.1745362870674946E12
660000.0     1.1898972136606304E12
670000.0     1.2237924018296138E12
680000.0     1.235811602956182E12
690000.0     1.2434649897288887E12
700000.0     1.2665967217965437E12
710000.0     1.4143388899887505E12
720000.0     1.4444953836563813E12
730000.0     1.4538280296592153E12
740000.0     1.4795200921314067E12
750000.0     1.5943216274026182E12
760000.0     1.5991302376012139E12
770000.0     1.6036736365163394E12
780000.0     1.6090967529851196E12
790000.0     1.636383957719734E12
800000.0     1.7305770282183076E12
810000.0     1.7602511579206924E12
820000.0     1.7741455865464956E12
830000.0     1.8030914179849834E12
